positionid,attack,defense,money,rarity,attack_percentile,defense_percentile,money_percentile,total_score_rank
0,11,11,29,good,0.36005,0.48005,0.98505,1001.0
1,11,11,30,legendary,0.36005,0.48005,0.99505,901.0
2,11,11,11,bad,0.36005,0.48005,0.05505,9601.0
3,11,11,11,bad,0.36005,0.48005,0.05505,9602.0
4,11,11,11,bad,0.36005,0.48005,0.05505,9603.0
5,11,11,11,bad,0.36005,0.48005,0.05505,9604.0
6,16,11,11,good,0.77005,0.48005,0.05505,7301.0
7,17,11,11,good,0.79505,0.48005,0.05505,7201.0
8,18,11,11,good,0.82005,0.48005,0.05505,7001.0
9,19,11,11,good,0.84005,0.48005,0.05505,6801.0
10,20,11,11,good,0.86005,0.48005,0.05505,6701.0
11,21,11,11,good,0.88005,0.48005,0.05505,6501.0
12,22,11,12,good,0.90005,0.48005,0.16505,5301.0
13,23,11,12,good,0.92505,0.48005,0.16505,4201.0
14,24,11,12,good,0.95005,0.48005,0.16505,4001.0
15,25,11,12,good,0.97005,0.48005,0.16505,3901.0
16,11,11,12,bad,0.36005,0.48005,0.16505,8901.0
17,11,11,12,bad,0.36005,0.48005,0.16505,8902.0
18,11,11,12,bad,0.36005,0.48005,0.16505,8903.0
19,11,11,12,bad,0.36005,0.48005,0.16505,8904.0
20,11,11,12,bad,0.36005,0.48005,0.16505,8905.0
21,11,11,12,bad,0.36005,0.48005,0.16505,8906.0
22,11,11,13,bad,0.36005,0.48005,0.27505,8301.0
23,11,11,13,bad,0.36005,0.48005,0.27505,8302.0
24,11,17,13,rare,0.36005,0.78005,0.27505,6601.0
25,11,23,13,rare,0.36005,0.85005,0.27505,5801.0
26,11,29,13,rare,0.36005,0.92005,0.27505,4501.0
27,11,35,13,legendary,0.36005,0.99005,0.27505,3801.0
28,11,11,13,bad,0.36005,0.48005,0.27505,8303.0
29,11,11,13,bad,0.36005,0.48005,0.27505,8304.0
30,11,11,13,bad,0.36005,0.48005,0.27505,8305.0
31,11,11,13,bad,0.36005,0.48005,0.27505,8306.0
32,11,11,14,normal,0.36005,0.48005,0.38505,7501.0
33,11,11,14,normal,0.36005,0.48005,0.38505,7502.0
34,11,11,14,normal,0.36005,0.48005,0.38505,7503.0
35,11,11,14,normal,0.36005,0.48005,0.38505,7504.0
36,11,11,14,normal,0.36005,0.48005,0.38505,7505.0
37,11,11,14,normal,0.36005,0.48005,0.38505,7506.0
38,11,16,14,rare,0.36005,0.76505,0.38505,5701.0
39,11,17,14,rare,0.36005,0.78005,0.38505,5601.0
40,11,18,14,rare,0.36005,0.79505,0.38505,5401.0
41,11,19,14,rare,0.36005,0.80505,0.38505,5101.0
42,11,20,15,rare,0.36005,0.81505,0.49505,3601.0
43,11,21,15,rare,0.36005,0.82505,0.49505,3501.0
44,11,22,15,rare,0.36005,0.83505,0.49505,3401.0
45,11,23,15,rare,0.36005,0.85005,0.49505,3301.0
46,11,24,15,rare,0.36005,0.86505,0.49505,3101.0
47,11,25,15,rare,0.36005,0.87505,0.49505,2901.0
48,11,26,15,rare,0.36005,0.88505,0.49505,2701.0
49,11,27,15,rare,0.36005,0.89505,0.49505,2401.0
50,11,28,15,rare,0.36005,0.90505,0.49505,2201.0
51,11,29,15,rare,0.36005,0.92005,0.49505,1801.0
52,11,30,16,rare,0.36005,0.93505,0.60505,501.0
53,11,31,16,rare,0.36005,0.94505,0.60505,401.0
54,11,32,16,rare,0.36005,0.95505,0.60505,301.0
55,11,33,16,rare,0.36005,0.96505,0.60505,201.0
56,11,34,16,rare,0.36005,0.97505,0.60505,101.0
57,11,35,16,legendary,0.36005,0.99005,0.60505,1.0
58,11,11,16,normal,0.36005,0.48005,0.60505,6001.0
59,11,11,16,normal,0.36005,0.48005,0.60505,6002.0
60,11,11,16,normal,0.36005,0.48005,0.60505,6003.0
61,11,11,16,normal,0.36005,0.48005,0.60505,6004.0
62,11,11,17,normal,0.36005,0.48005,0.71505,4601.0
63,11,11,17,normal,0.36005,0.48005,0.71505,4602.0
64,11,11,17,normal,0.36005,0.48005,0.71505,4603.0
65,11,11,17,normal,0.36005,0.48005,0.71505,4604.0
66,11,1,17,normal,0.36005,0.10005,0.71505,8201.0
67,12,1,17,normal,0.72505,0.10005,0.71505,5501.0
68,13,1,17,normal,0.73505,0.10005,0.71505,5102.0
69,14,1,17,normal,0.74505,0.10005,0.71505,4401.0
70,15,1,17,good,0.75505,0.10005,0.71505,4202.0
71,16,1,17,good,0.77005,0.10005,0.71505,4101.0
72,17,1,18,good,0.79505,0.10005,0.82505,3102.0
73,18,1,18,good,0.82005,0.10005,0.82505,2601.0
74,19,1,18,good,0.84005,0.10005,0.82505,2101.0
75,20,1,18,good,0.86005,0.10005,0.82505,1601.0
76,21,1,18,good,0.88005,0.10005,0.82505,1301.0
77,22,1,18,good,0.90005,0.10005,0.82505,1002.0
78,23,1,18,good,0.92505,0.10005,0.82505,801.0
79,24,1,18,good,0.95005,0.10005,0.82505,701.0
80,25,1,18,good,0.97005,0.10005,0.82505,601.0
81,11,1,18,good,0.36005,0.10005,0.82505,7401.0
82,17,1,11,good,0.79505,0.10005,0.05505,9501.0
83,23,1,12,good,0.92505,0.10005,0.16505,8101.0
84,29,1,13,good,0.98505,0.10005,0.27505,6901.0
85,35,1,14,legendary,0.99505,0.10005,0.38505,5901.0
86,11,11,15,normal,0.36005,0.48005,0.49505,7101.0
87,11,11,16,normal,0.36005,0.48005,0.60505,6005.0
88,11,11,17,normal,0.36005,0.48005,0.71505,4605.0
89,11,11,18,good,0.36005,0.48005,0.82505,3701.0
90,11,11,19,good,0.36005,0.48005,0.88505,3001.0
91,11,11,20,good,0.36005,0.48005,0.89505,2801.0
92,11,11,21,good,0.36005,0.48005,0.90505,2501.0
93,11,11,22,good,0.36005,0.48005,0.91505,2301.0
94,11,11,23,good,0.36005,0.48005,0.92505,2001.0
95,11,11,24,good,0.36005,0.48005,0.93505,1802.0
96,11,11,25,good,0.36005,0.48005,0.94505,1602.0
97,11,11,26,good,0.36005,0.48005,0.95505,1501.0
98,11,11,27,good,0.36005,0.48005,0.96505,1302.0
99,11,11,28,good,0.36005,0.48005,0.97505,1201.0
100,11,11,29,good,0.36005,0.48005,0.98505,1003.0
101,11,11,30,legendary,0.36005,0.48005,0.99505,902.0
102,11,11,11,bad,0.36005,0.48005,0.05505,9605.0
103,11,11,11,bad,0.36005,0.48005,0.05505,9606.0
104,11,11,11,bad,0.36005,0.48005,0.05505,9607.0
105,11,11,11,bad,0.36005,0.48005,0.05505,9608.0
106,16,11,11,good,0.77005,0.48005,0.05505,7302.0
107,17,11,11,good,0.79505,0.48005,0.05505,7202.0
108,18,11,11,good,0.82005,0.48005,0.05505,7002.0
109,19,11,11,good,0.84005,0.48005,0.05505,6802.0
110,20,11,11,good,0.86005,0.48005,0.05505,6702.0
111,21,11,11,good,0.88005,0.48005,0.05505,6502.0
112,22,11,12,good,0.90005,0.48005,0.16505,5302.0
113,23,11,12,good,0.92505,0.48005,0.16505,4203.0
114,24,11,12,good,0.95005,0.48005,0.16505,4002.0
115,25,11,12,good,0.97005,0.48005,0.16505,3902.0
116,11,11,12,bad,0.36005,0.48005,0.16505,8907.0
117,11,11,12,bad,0.36005,0.48005,0.16505,8908.0
118,11,11,12,bad,0.36005,0.48005,0.16505,8909.0
119,11,11,12,bad,0.36005,0.48005,0.16505,8910.0
120,11,11,12,bad,0.36005,0.48005,0.16505,8911.0
121,11,11,12,bad,0.36005,0.48005,0.16505,8912.0
122,11,11,13,bad,0.36005,0.48005,0.27505,8307.0
123,11,11,13,bad,0.36005,0.48005,0.27505,8308.0
124,11,17,13,rare,0.36005,0.78005,0.27505,6602.0
125,11,23,13,rare,0.36005,0.85005,0.27505,5802.0
126,11,29,13,rare,0.36005,0.92005,0.27505,4502.0
127,11,35,13,legendary,0.36005,0.99005,0.27505,3802.0
128,11,11,13,bad,0.36005,0.48005,0.27505,8309.0
129,11,11,13,bad,0.36005,0.48005,0.27505,8310.0
130,11,11,13,bad,0.36005,0.48005,0.27505,8311.0
131,11,11,13,bad,0.36005,0.48005,0.27505,8312.0
132,11,11,14,normal,0.36005,0.48005,0.38505,7507.0
133,11,11,14,normal,0.36005,0.48005,0.38505,7508.0
134,11,11,14,normal,0.36005,0.48005,0.38505,7509.0
135,11,11,14,normal,0.36005,0.48005,0.38505,7510.0
136,11,11,14,normal,0.36005,0.48005,0.38505,7511.0
137,11,11,14,normal,0.36005,0.48005,0.38505,7512.0
138,11,16,14,rare,0.36005,0.76505,0.38505,5702.0
139,11,17,14,rare,0.36005,0.78005,0.38505,5602.0
140,11,18,14,rare,0.36005,0.79505,0.38505,5402.0
141,11,19,14,rare,0.36005,0.80505,0.38505,5103.0
142,11,20,15,rare,0.36005,0.81505,0.49505,3602.0
143,11,21,15,rare,0.36005,0.82505,0.49505,3502.0
144,11,22,15,rare,0.36005,0.83505,0.49505,3402.0
145,11,23,15,rare,0.36005,0.85005,0.49505,3302.0
146,11,24,15,rare,0.36005,0.86505,0.49505,3103.0
147,11,25,15,rare,0.36005,0.87505,0.49505,2902.0
148,11,26,15,rare,0.36005,0.88505,0.49505,2702.0
149,11,27,15,rare,0.36005,0.89505,0.49505,2402.0
150,11,28,15,rare,0.36005,0.90505,0.49505,2202.0
151,11,29,15,rare,0.36005,0.92005,0.49505,1803.0
152,11,30,16,rare,0.36005,0.93505,0.60505,502.0
153,11,31,16,rare,0.36005,0.94505,0.60505,402.0
154,11,32,16,rare,0.36005,0.95505,0.60505,302.0
155,11,33,16,rare,0.36005,0.96505,0.60505,202.0
156,11,34,16,rare,0.36005,0.97505,0.60505,102.0
157,11,35,16,legendary,0.36005,0.99005,0.60505,2.0
158,11,11,16,normal,0.36005,0.48005,0.60505,6006.0
159,11,11,16,normal,0.36005,0.48005,0.60505,6007.0
160,11,11,16,normal,0.36005,0.48005,0.60505,6008.0
161,11,11,16,normal,0.36005,0.48005,0.60505,6009.0
162,11,11,17,normal,0.36005,0.48005,0.71505,4606.0
163,11,11,17,normal,0.36005,0.48005,0.71505,4607.0
164,11,11,17,normal,0.36005,0.48005,0.71505,4608.0
165,11,11,17,normal,0.36005,0.48005,0.71505,4609.0
166,11,1,17,normal,0.36005,0.10005,0.71505,8202.0
167,12,1,17,normal,0.72505,0.10005,0.71505,5502.0
168,13,1,17,normal,0.73505,0.10005,0.71505,5104.0
169,14,1,17,normal,0.74505,0.10005,0.71505,4402.0
170,15,1,17,good,0.75505,0.10005,0.71505,4204.0
171,16,1,17,good,0.77005,0.10005,0.71505,4102.0
172,17,1,18,good,0.79505,0.10005,0.82505,3104.0
173,18,1,18,good,0.82005,0.10005,0.82505,2602.0
174,19,1,18,good,0.84005,0.10005,0.82505,2102.0
175,20,1,18,good,0.86005,0.10005,0.82505,1603.0
176,21,1,18,good,0.88005,0.10005,0.82505,1303.0
177,22,1,18,good,0.90005,0.10005,0.82505,1004.0
178,23,1,18,good,0.92505,0.10005,0.82505,802.0
179,24,1,18,good,0.95005,0.10005,0.82505,702.0
180,25,1,18,good,0.97005,0.10005,0.82505,602.0
181,11,1,18,good,0.36005,0.10005,0.82505,7402.0
182,17,1,11,good,0.79505,0.10005,0.05505,9502.0
183,23,1,12,good,0.92505,0.10005,0.16505,8102.0
184,29,1,13,good,0.98505,0.10005,0.27505,6902.0
185,35,1,14,legendary,0.99505,0.10005,0.38505,5902.0
186,11,11,15,normal,0.36005,0.48005,0.49505,7102.0
187,11,11,16,normal,0.36005,0.48005,0.60505,6010.0
188,11,11,17,normal,0.36005,0.48005,0.71505,4610.0
189,11,11,18,good,0.36005,0.48005,0.82505,3702.0
190,11,11,19,good,0.36005,0.48005,0.88505,3002.0
191,11,11,20,good,0.36005,0.48005,0.89505,2802.0
192,11,11,21,good,0.36005,0.48005,0.90505,2502.0
193,11,11,22,good,0.36005,0.48005,0.91505,2302.0
194,11,11,23,good,0.36005,0.48005,0.92505,2002.0
195,11,11,24,good,0.36005,0.48005,0.93505,1804.0
196,11,11,25,good,0.36005,0.48005,0.94505,1604.0
197,11,11,26,good,0.36005,0.48005,0.95505,1502.0
198,11,11,27,good,0.36005,0.48005,0.96505,1304.0
199,11,11,28,good,0.36005,0.48005,0.97505,1202.0
200,11,11,29,good,0.36005,0.48005,0.98505,1005.0
201,11,11,30,legendary,0.36005,0.48005,0.99505,903.0
202,11,11,11,bad,0.36005,0.48005,0.05505,9609.0
203,11,11,11,bad,0.36005,0.48005,0.05505,9610.0
204,11,11,11,bad,0.36005,0.48005,0.05505,9611.0
205,11,11,11,bad,0.36005,0.48005,0.05505,9612.0
206,16,11,11,good,0.77005,0.48005,0.05505,7303.0
207,17,11,11,good,0.79505,0.48005,0.05505,7203.0
208,18,11,11,good,0.82005,0.48005,0.05505,7003.0
209,19,11,11,good,0.84005,0.48005,0.05505,6803.0
210,20,11,11,good,0.86005,0.48005,0.05505,6703.0
211,21,11,11,good,0.88005,0.48005,0.05505,6503.0
212,22,11,12,good,0.90005,0.48005,0.16505,5303.0
213,23,11,12,good,0.92505,0.48005,0.16505,4205.0
214,24,11,12,good,0.95005,0.48005,0.16505,4003.0
215,25,11,12,good,0.97005,0.48005,0.16505,3903.0
216,11,11,12,bad,0.36005,0.48005,0.16505,8913.0
217,11,11,12,bad,0.36005,0.48005,0.16505,8914.0
218,11,11,12,bad,0.36005,0.48005,0.16505,8915.0
219,11,11,12,bad,0.36005,0.48005,0.16505,8916.0
220,11,11,12,bad,0.36005,0.48005,0.16505,8917.0
221,11,11,12,bad,0.36005,0.48005,0.16505,8918.0
222,11,11,13,bad,0.36005,0.48005,0.27505,8313.0
223,11,11,13,bad,0.36005,0.48005,0.27505,8314.0
224,11,17,13,rare,0.36005,0.78005,0.27505,6603.0
225,11,23,13,rare,0.36005,0.85005,0.27505,5803.0
226,11,29,13,rare,0.36005,0.92005,0.27505,4503.0
227,11,35,13,legendary,0.36005,0.99005,0.27505,3803.0
228,11,11,13,bad,0.36005,0.48005,0.27505,8315.0
229,11,11,13,bad,0.36005,0.48005,0.27505,8316.0
230,11,11,13,bad,0.36005,0.48005,0.27505,8317.0
231,11,11,13,bad,0.36005,0.48005,0.27505,8318.0
232,11,11,14,normal,0.36005,0.48005,0.38505,7513.0
233,11,11,14,normal,0.36005,0.48005,0.38505,7514.0
234,11,11,14,normal,0.36005,0.48005,0.38505,7515.0
235,11,11,14,normal,0.36005,0.48005,0.38505,7516.0
236,11,11,14,normal,0.36005,0.48005,0.38505,7517.0
237,11,11,14,normal,0.36005,0.48005,0.38505,7518.0
238,11,16,14,rare,0.36005,0.76505,0.38505,5703.0
239,11,17,14,rare,0.36005,0.78005,0.38505,5603.0
240,11,18,14,rare,0.36005,0.79505,0.38505,5403.0
241,11,19,14,rare,0.36005,0.80505,0.38505,5105.0
242,11,20,15,rare,0.36005,0.81505,0.49505,3603.0
243,11,21,15,rare,0.36005,0.82505,0.49505,3503.0
244,11,22,15,rare,0.36005,0.83505,0.49505,3403.0
245,11,23,15,rare,0.36005,0.85005,0.49505,3303.0
246,11,24,15,rare,0.36005,0.86505,0.49505,3105.0
247,11,25,15,rare,0.36005,0.87505,0.49505,2903.0
248,11,26,15,rare,0.36005,0.88505,0.49505,2703.0
249,11,27,15,rare,0.36005,0.89505,0.49505,2403.0
250,11,28,15,rare,0.36005,0.90505,0.49505,2203.0
251,11,29,15,rare,0.36005,0.92005,0.49505,1805.0
252,11,30,16,rare,0.36005,0.93505,0.60505,503.0
253,11,31,16,rare,0.36005,0.94505,0.60505,403.0
254,11,32,16,rare,0.36005,0.95505,0.60505,303.0
255,11,33,16,rare,0.36005,0.96505,0.60505,203.0
256,11,34,16,rare,0.36005,0.97505,0.60505,103.0
257,11,35,16,legendary,0.36005,0.99005,0.60505,3.0
258,11,11,16,normal,0.36005,0.48005,0.60505,6011.0
259,11,11,16,normal,0.36005,0.48005,0.60505,6012.0
260,11,11,16,normal,0.36005,0.48005,0.60505,6013.0
261,11,11,16,normal,0.36005,0.48005,0.60505,6014.0
262,11,11,17,normal,0.36005,0.48005,0.71505,4611.0
263,11,11,17,normal,0.36005,0.48005,0.71505,4612.0
264,11,11,17,normal,0.36005,0.48005,0.71505,4613.0
265,11,11,17,normal,0.36005,0.48005,0.71505,4614.0
266,11,1,17,normal,0.36005,0.10005,0.71505,8203.0
267,12,1,17,normal,0.72505,0.10005,0.71505,5503.0
268,13,1,17,normal,0.73505,0.10005,0.71505,5106.0
269,14,1,17,normal,0.74505,0.10005,0.71505,4403.0
270,15,1,17,good,0.75505,0.10005,0.71505,4206.0
271,16,1,17,good,0.77005,0.10005,0.71505,4103.0
272,17,1,18,good,0.79505,0.10005,0.82505,3106.0
273,18,1,18,good,0.82005,0.10005,0.82505,2603.0
274,19,1,18,good,0.84005,0.10005,0.82505,2103.0
275,20,1,18,good,0.86005,0.10005,0.82505,1605.0
276,21,1,18,good,0.88005,0.10005,0.82505,1305.0
277,22,1,18,good,0.90005,0.10005,0.82505,1006.0
278,23,1,18,good,0.92505,0.10005,0.82505,803.0
279,24,1,18,good,0.95005,0.10005,0.82505,703.0
280,25,1,18,good,0.97005,0.10005,0.82505,603.0
281,11,1,18,good,0.36005,0.10005,0.82505,7403.0
282,17,1,11,good,0.79505,0.10005,0.05505,9503.0
283,23,1,12,good,0.92505,0.10005,0.16505,8103.0
284,29,1,13,good,0.98505,0.10005,0.27505,6903.0
285,35,1,14,legendary,0.99505,0.10005,0.38505,5903.0
286,11,11,15,normal,0.36005,0.48005,0.49505,7103.0
287,11,11,16,normal,0.36005,0.48005,0.60505,6015.0
288,11,11,17,normal,0.36005,0.48005,0.71505,4615.0
289,11,11,18,good,0.36005,0.48005,0.82505,3703.0
290,11,11,19,good,0.36005,0.48005,0.88505,3003.0
291,11,11,20,good,0.36005,0.48005,0.89505,2803.0
292,11,11,21,good,0.36005,0.48005,0.90505,2503.0
293,11,11,22,good,0.36005,0.48005,0.91505,2303.0
294,11,11,23,good,0.36005,0.48005,0.92505,2003.0
