,positionid,attack,defense,money,rarity,attack_percentile,defense_percentile,money_percentile,total_score_rank
57,57,11,35,16,legendary,0.36005,0.99005,0.60505,1.0
157,157,11,35,16,legendary,0.36005,0.99005,0.60505,2.0
257,257,11,35,16,legendary,0.36005,0.99005,0.60505,3.0
357,357,11,35,16,legendary,0.36005,0.99005,0.60505,4.0
457,457,11,35,16,legendary,0.36005,0.99005,0.60505,5.0
557,557,11,35,16,legendary,0.36005,0.99005,0.60505,6.0
657,657,11,35,16,legendary,0.36005,0.99005,0.60505,7.0
757,757,11,35,16,legendary,0.36005,0.99005,0.60505,8.0
857,857,11,35,16,legendary,0.36005,0.99005,0.60505,9.0
957,957,11,35,16,legendary,0.36005,0.99005,0.60505,10.0
1057,1057,11,35,16,legendary,0.36005,0.99005,0.60505,11.0
1157,1157,11,35,16,legendary,0.36005,0.99005,0.60505,12.0
1257,1257,11,35,16,legendary,0.36005,0.99005,0.60505,13.0
1357,1357,11,35,16,legendary,0.36005,0.99005,0.60505,14.0
1457,1457,11,35,16,legendary,0.36005,0.99005,0.60505,15.0
1557,1557,11,35,16,legendary,0.36005,0.99005,0.60505,16.0
1657,1657,11,35,16,legendary,0.36005,0.99005,0.60505,17.0
1757,1757,11,35,16,legendary,0.36005,0.99005,0.60505,18.0
1857,1857,11,35,16,legendary,0.36005,0.99005,0.60505,19.0
1957,1957,11,35,16,legendary,0.36005,0.99005,0.60505,20.0
2057,2057,11,35,16,legendary,0.36005,0.99005,0.60505,21.0
2157,2157,11,35,16,legendary,0.36005,0.99005,0.60505,22.0
2257,2257,11,35,16,legendary,0.36005,0.99005,0.60505,23.0
2357,2357,11,35,16,legendary,0.36005,0.99005,0.60505,24.0
2457,2457,11,35,16,legendary,0.36005,0.99005,0.60505,25.0
2557,2557,11,35,16,legendary,0.36005,0.99005,0.60505,26.0
2657,2657,11,35,16,legendary,0.36005,0.99005,0.60505,27.0
2757,2757,11,35,16,legendary,0.36005,0.99005,0.60505,28.0
2857,2857,11,35,16,legendary,0.36005,0.99005,0.60505,29.0
2957,2957,11,35,16,legendary,0.36005,0.99005,0.60505,30.0
3057,3057,11,35,16,legendary,0.36005,0.99005,0.60505,31.0
3157,3157,11,35,16,legendary,0.36005,0.99005,0.60505,32.0
3257,3257,11,35,16,legendary,0.36005,0.99005,0.60505,33.0
3357,3357,11,35,16,legendary,0.36005,0.99005,0.60505,34.0
3457,3457,11,35,16,legendary,0.36005,0.99005,0.60505,35.0
3557,3557,11,35,16,legendary,0.36005,0.99005,0.60505,36.0
3657,3657,11,35,16,legendary,0.36005,0.99005,0.60505,37.0
3757,3757,11,35,16,legendary,0.36005,0.99005,0.60505,38.0
3857,3857,11,35,16,legendary,0.36005,0.99005,0.60505,39.0
3957,3957,11,35,16,legendary,0.36005,0.99005,0.60505,40.0
4057,4057,11,35,16,legendary,0.36005,0.99005,0.60505,41.0
4157,4157,11,35,16,legendary,0.36005,0.99005,0.60505,42.0
4257,4257,11,35,16,legendary,0.36005,0.99005,0.60505,43.0
4357,4357,11,35,16,legendary,0.36005,0.99005,0.60505,44.0
4457,4457,11,35,16,legendary,0.36005,0.99005,0.60505,45.0
4557,4557,11,35,16,legendary,0.36005,0.99005,0.60505,46.0
4657,4657,11,35,16,legendary,0.36005,0.99005,0.60505,47.0
4757,4757,11,35,16,legendary,0.36005,0.99005,0.60505,48.0
4857,4857,11,35,16,legendary,0.36005,0.99005,0.60505,49.0
4957,4957,11,35,16,legendary,0.36005,0.99005,0.60505,50.0
5057,5057,11,35,16,legendary,0.36005,0.99005,0.60505,51.0
